"","target_id","gene","tissue","tpm","binary","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"6050","PGEN_.00g154020","PGEN_.00g154020","gonad",5.586421,1,"Q91V51;Q3TGC8;Q543S4;Q8C0A2;Q91ZG1",319953,"Ttll1","Polyglutamylase complex subunit TTLL1","p49","GO:0036064;GO:0005929;GO:0005829;GO:0005576;GO:0005874;GO:0031514;GO:0005524;GO:0046872;GO:0015631;GO:0070740;GO:0035082;GO:0021702;GO:0003351;GO:0030317;GO:0002395;GO:0000226;GO:0120197;GO:0018095;GO:0120222;GO:0007288","GO:0035082;GO:0021702;GO:0003351;GO:0030317;GO:0002395;GO:0000226;GO:0120197;GO:0018095;GO:0120222;GO:0007288","GO:0036064;GO:0005929;GO:0005829;GO:0005576;GO:0005874;GO:0031514","GO:0005524;GO:0046872;GO:0015631;GO:0070740","GO:0007010;GO:0044782;GO:0030154;GO:0048856;GO:0007018;GO:0007018;GO:0022414;GO:0048870;GO:0002376;GO:0007010;GO:0003016;GO:0007018;GO:0048856;GO:0007010;GO:0007018;GO:0022414;GO:0030154;GO:0044782;GO:0048856;GO:0048870","cytoskeleton organization;cilium organization;cell differentiation;anatomical structure development;microtubule-based movement;microtubule-based movement;reproductive process;cell motility;immune system process;cytoskeleton organization;respiratory system process;microtubule-based movement;anatomical structure development;cytoskeleton organization;microtubule-based movement;reproductive process;cell differentiation;cilium organization;anatomical structure development;cell motility"
"6082","PGEN_.00g154930","PGEN_.00g154930","gonad",3.025293,1,"P54276;O54710;Q6GTK8",17688,"Msh6","DNA mismatch repair protein Msh6","MutS-alpha 160 kDa subunit","GO:0000785;GO:0005829;GO:0005794;GO:0043231;GO:0032300;GO:0032301;GO:0005654;GO:0005634;GO:0043531;GO:0005524;GO:0008094;GO:0003682;GO:0003684;GO:0003677;GO:0019899;GO:0000400;GO:0032137;GO:0000287;GO:0035064;GO:0030983;GO:0032405;GO:0032357;GO:0032142;GO:0032143;GO:0008340;GO:0006281;GO:0036297;GO:0097193;GO:0008630;GO:0045190;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0051096;GO:0006290;GO:0009411;GO:0016446;GO:0016447;GO:0007283","GO:0008340;GO:0006281;GO:0036297;GO:0097193;GO:0008630;GO:0045190;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0051096;GO:0006290;GO:0009411;GO:0016446;GO:0016447;GO:0007283","GO:0000785;GO:0005829;GO:0005794;GO:0043231;GO:0032300;GO:0032301;GO:0005654;GO:0005634","GO:0043531;GO:0005524;GO:0008094;GO:0003682;GO:0003684;GO:0003677;GO:0019899;GO:0000400;GO:0032137;GO:0000287;GO:0035064;GO:0030983;GO:0032405;GO:0032357;GO:0032142;GO:0032143","GO:0006281;GO:0012501;GO:0023052;GO:0012501;GO:0023052;GO:0002376;GO:0006310;GO:0048856;GO:0006281;GO:0022414;GO:0006281;GO:0006310;GO:0006281;GO:0002376;GO:0048856;GO:0002376;GO:0006310;GO:0048856;GO:0022414","DNA repair;programmed cell death;signaling;programmed cell death;signaling;immune system process;DNA recombination;anatomical structure development;DNA repair;reproductive process;DNA repair;DNA recombination;DNA repair;immune system process;anatomical structure development;immune system process;DNA recombination;anatomical structure development;reproductive process"
"6087","PGEN_.00g155040","PGEN_.00g155040","gonad",0.742496,1,"P22888;Q14751;Q15996;Q9UEW9",3973,"LHCGR","Lutropin-choriogonadotropic hormone receptor","Luteinizing hormone receptor","GO:0005768;GO:0005887;GO:0005886;GO:0038106;GO:0035472;GO:0008528;GO:0004964;GO:0007190;GO:0007189;GO:0071371;GO:0071373;GO:0050890;GO:0007186;GO:0007187;GO:0009755;GO:0042700;GO:0030539;GO:0008584;GO:0001541;GO:0022602;GO:0007200;GO:0032962","GO:0007190;GO:0007189;GO:0071371;GO:0071373;GO:0050890;GO:0007186;GO:0007187;GO:0009755;GO:0042700;GO:0030539;GO:0008584;GO:0001541;GO:0022602;GO:0007200;GO:0032962","GO:0005768;GO:0005887;GO:0005886","GO:0038106;GO:0035472;GO:0008528;GO:0004964","GO:0023052;GO:0050877;GO:0023052;GO:0023052;GO:0023052;GO:0023052;GO:0022414;GO:0048856;GO:0022414;GO:0048856;GO:0022414;GO:0048856;GO:0022414;GO:0023052;GO:0005975","signaling;nervous system process;signaling;signaling;signaling;signaling;reproductive process;anatomical structure development;reproductive process;anatomical structure development;reproductive process;anatomical structure development;reproductive process;signaling;carbohydrate metabolic process"
"6155","PGEN_.00g156620","PGEN_.00g156620","gonad",21.262679,1,"Q61555;E9QJZ4;Q63957",14119,"Fbn2","Placensin","WD repeat-containing protein 50","GO:0062023;GO:0031012;GO:0005576;GO:0005615;GO:0001527;GO:0005509;GO:0005201;GO:0005179;GO:0009653;GO:0060346;GO:0043010;GO:0048048;GO:0030326;GO:0042593;GO:0035108;GO:0001890;GO:0030501;GO:0045669;GO:1901163;GO:0035583","GO:0009653;GO:0060346;GO:0043010;GO:0048048;GO:0030326;GO:0042593;GO:0035108;GO:0001890;GO:0030501;GO:0045669;GO:1901163;GO:0035583","GO:0062023;GO:0031012;GO:0005576;GO:0005615;GO:0001527","GO:0005509;GO:0005201;GO:0005179","GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0030154;GO:0022414;GO:0048856;GO:0048870;GO:0023052","anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;cell differentiation;reproductive process;anatomical structure development;cell motility;signaling"
"6191","PGEN_.00g157430","PGEN_.00g157430","gonad",9.727272,1,"Q60547",101825388,"SYCP3","Synaptonemal complex protein 3","Synaptonemal complex protein COR1","GO:0005694;GO:0000775;GO:0000800;GO:0003677;GO:0051301;GO:0051321","GO:0051301;GO:0051321","GO:0005694;GO:0000775;GO:0000800","GO:0003677","GO:0022414","reproductive process"
"6194","PGEN_.00g157480","PGEN_.00g157480","gonad",7.818943,1,"Q96M20;Q14C79;Q5JWY7;Q5T3S1;Q9BR36;Q9BWY5",140894,"CNBD2","Cyclic nucleotide-binding domain-containing protein 2","UDP-GlcNAc:betaGal beta-13-N-acetylglucosaminyltransferase 1","GO:0005829;GO:0030552;GO:0007283","GO:0007283","GO:0005829","GO:0030552","GO:0022414","reproductive process"
"6227","PGEN_.00g158080","PGEN_.00g158080","gonad",24.950057,1,"P98164;O00711;Q16215",4036,"LRP2","Low-density lipoprotein receptor-related protein 2","Megalin","GO:0016324;GO:0030424;GO:0031526;GO:0030669;GO:0005905;GO:0030425;GO:0005783;GO:0031904;GO:0009897;GO:0070062;GO:0005794;GO:0016021;GO:0005765;GO:0005764;GO:0005886;GO:0043235;GO:0005509;GO:0038024;GO:0051087;GO:0042562;GO:0031994;GO:0005041;GO:0140318;GO:0017124;GO:0097242;GO:0035904;GO:0008283;GO:0071363;GO:0060982;GO:0006897;GO:1904447;GO:0030900;GO:0001822;GO:0006629;GO:0008584;GO:0030001;GO:0043066;GO:0030514;GO:0001843;GO:0140058;GO:0003148;GO:1905167;GO:0050769;GO:0070447;GO:0051897;GO:0015031;GO:0061156;GO:0006898;GO:0044321;GO:0001523;GO:0003139;GO:0007605;GO:0045056;GO:0150104;GO:0060068;GO:0003223;GO:0003281;GO:0042359","GO:0097242;GO:0035904;GO:0008283;GO:0071363;GO:0060982;GO:0006897;GO:1904447;GO:0030900;GO:0001822;GO:0006629;GO:0008584;GO:0030001;GO:0043066;GO:0030514;GO:0001843;GO:0140058;GO:0003148;GO:1905167;GO:0050769;GO:0070447;GO:0051897;GO:0015031;GO:0061156;GO:0006898;GO:0044321;GO:0001523;GO:0003139;GO:0007605;GO:0045056;GO:0150104;GO:0060068;GO:0003223;GO:0003281;GO:0042359","GO:0016324;GO:0030424;GO:0031526;GO:0030669;GO:0005905;GO:0030425;GO:0005783;GO:0031904;GO:0009897;GO:0070062;GO:0005794;GO:0016021;GO:0005765;GO:0005764;GO:0005886;GO:0043235","GO:0005509;GO:0038024;GO:0051087;GO:0042562;GO:0031994;GO:0005041;GO:0140318;GO:0017124","GO:0048856;GO:0048856;GO:0016192;GO:0055085;GO:0048856;GO:0048856;GO:0022414;GO:0048856;GO:0012501;GO:0023052;GO:0048856;GO:0030154;GO:0048856;GO:0048856;GO:0030163;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0023052;GO:0048856;GO:0016192;GO:0006629;GO:0048856;GO:0050877;GO:0016192;GO:0003013;GO:0022414;GO:0048856;GO:0048856;GO:0048856;GO:0006629;GO:0006766","anatomical structure development;anatomical structure development;vesicle-mediated transport;transmembrane transport;anatomical structure development;anatomical structure development;reproductive process;anatomical structure development;programmed cell death;signaling;anatomical structure development;cell differentiation;anatomical structure development;anatomical structure development;protein catabolic process;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;signaling;anatomical structure development;vesicle-mediated transport;lipid metabolic process;anatomical structure development;nervous system process;vesicle-mediated transport;circulatory system process;reproductive process;anatomical structure development;anatomical structure development;anatomical structure development;lipid metabolic process;vitamin metabolic process"
"6245","PGEN_.00g158690","PGEN_.00g158690","gonad",4.557195,1,"I0IUP3;E1BWN1;F1NEZ3;Q5F3V9",421314,"MCM8","DNA helicase MCM8","Minichromosome maintenance 8","GO:0042555;GO:0097362;GO:0005634;GO:0005524;GO:0016887;GO:0003678;GO:0003697;GO:0006974;GO:0000724;GO:0007292;GO:0048232","GO:0006974;GO:0000724;GO:0007292;GO:0048232","GO:0042555;GO:0097362;GO:0005634","GO:0005524;GO:0016887;GO:0003678;GO:0003697","GO:0006281;GO:0006310;GO:0022414;GO:0022414","DNA repair;DNA recombination;reproductive process;reproductive process"
"6293","PGEN_.00g160200","PGEN_.00g160200","gonad",12.519445,1,"P50233",25117,"Hsd11b2","11-beta-hydroxysteroid dehydrogenase type 2","NAD-dependent 11-beta-hydroxysteroid dehydrogenase","GO:0005737;GO:0005783;GO:0043231;GO:0005811;GO:0005654;GO:0070523;GO:0051287;GO:0005496;GO:0034650;GO:0007565;GO:0008211;GO:0002017;GO:0032094;GO:0051384;GO:0001666;GO:0032868;GO:0048545;GO:0009410","GO:0034650;GO:0007565;GO:0008211;GO:0002017;GO:0032094;GO:0051384;GO:0001666;GO:0032868;GO:0048545;GO:0009410","GO:0005737;GO:0005783;GO:0043231;GO:0005811;GO:0005654","GO:0070523;GO:0051287;GO:0005496","GO:0006629;GO:0022414;GO:0006629;GO:0003013;GO:0003014;GO:0050886","lipid metabolic process;reproductive process;lipid metabolic process;circulatory system process;renal system process;endocrine process"
"6325","PGEN_.00g161060","PGEN_.00g161060","gonad",6.156233,1,"P13439;Q99L26",22247,"Umps","Orotidine 5'-phosphate decarboxylase","OMPdecase","GO:0005737;GO:0005634;GO:0042802;GO:0004588;GO:0004590;GO:0006207;GO:0044205;GO:0071466;GO:0007565;GO:0007595;GO:0009116;GO:0019856;GO:0006225;GO:0006222","GO:0006207;GO:0044205;GO:0071466;GO:0007565;GO:0007595;GO:0009116;GO:0019856;GO:0006225;GO:0006222","GO:0005737;GO:0005634","GO:0042802;GO:0004588;GO:0004590","GO:0055086;GO:0055086;GO:1901135;GO:0022414;GO:0048856;GO:0055086;GO:1901135;GO:0055086;GO:0055086;GO:1901135;GO:0055086;GO:1901135","nucleobase-containing small molecule metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;reproductive process;anatomical structure development;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process"
"6342","PGEN_.00g161330","PGEN_.00g161330","gonad",0.554954,1,"Q8NA31;A0AUW1",283847,"TERB1","Telomere repeats-binding bouquet formation protein 1","Coiled-coil domain-containing protein 79","GO:0000781;GO:0005637;GO:0070187;GO:0007129;GO:0070197;GO:0045141","GO:0007129;GO:0070197;GO:0045141","GO:0000781;GO:0005637;GO:0070187","","GO:0007059;GO:0022414;GO:0140013;GO:0007059;GO:0022414;GO:0140013;GO:0007059;GO:0022414;GO:0140013","chromosome segregation;reproductive process;meiotic nuclear division;chromosome segregation;reproductive process;meiotic nuclear division;chromosome segregation;reproductive process;meiotic nuclear division"
"6360","PGEN_.00g161780","PGEN_.00g161780","gonad",1.581739,1,"Q9BXF3;A8MS90;A8MX16;Q658Z4;Q96P58;Q9C0C3",27443,"CECR2","Cat eye syndrome critical region protein 2","Mitochondrial small ribosomal subunit protein bS21m","GO:0090537;GO:0005634;GO:0140658;GO:0006309;GO:0006338;GO:0007010;GO:0061640;GO:0097194;GO:0007338;GO:0016192","GO:0006309;GO:0006338;GO:0007010;GO:0061640;GO:0097194;GO:0007338;GO:0016192","GO:0090537;GO:0005634","GO:0140658","GO:0012501;GO:0006325;GO:0000910;GO:0012501;GO:0022414","programmed cell death;chromatin organization;cytokinesis;programmed cell death;reproductive process"
"6362","PGEN_.00g161810","PGEN_.00g161810","gonad",16.035947,1,"E9Q2Z1;E9QA25;F6VR46;F7B218;Q6PAQ2;Q6ZPI9",330409,"Cecr2","Cat eye syndrome critical region protein 2 homolog","Mitochondrial small ribosomal subunit protein bS21m","GO:0090537;GO:0000791;GO:0031010;GO:0005634;GO:0140658;GO:0090102;GO:0097194;GO:0060122;GO:0001842;GO:0001843;GO:0021915;GO:0007338","GO:0090102;GO:0097194;GO:0060122;GO:0001842;GO:0001843;GO:0021915;GO:0007338","GO:0090537;GO:0000791;GO:0031010;GO:0005634","GO:0140658","GO:0048856;GO:0012501;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0022414","anatomical structure development;programmed cell death;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;reproductive process"
"6389","PGEN_.00g162330","PGEN_.00g162330","gonad",4.073989,1,"Q24306;A4V1Z9;A9UN33;Q0E8E4;Q8MRM5;Q9VUX5",39753,"Diap1","Death-associated inhibitor of apoptosis 1","RING-type E3 ubiquitin transferase Diap1","GO:0005737;GO:0005829;GO:0005634;GO:0048471;GO:0005876;GO:0089720;GO:0004869;GO:0043027;GO:0061663;GO:0031624;GO:0061630;GO:0031625;GO:0044390;GO:0004842;GO:1990381;GO:0008270;GO:0048800;GO:0006915;GO:0007298;GO:0022416;GO:0097340;GO:1990001;GO:0043066;GO:0046673;GO:0043154;GO:2001271;GO:0046329;GO:1903688;GO:0090263;GO:0031398;GO:0051865;GO:0070936;GO:0045116;GO:0000209;GO:0051726;GO:0045035;GO:0007289;GO:0007283;GO:0016055","GO:0048800;GO:0006915;GO:0007298;GO:0022416;GO:0097340;GO:1990001;GO:0043066;GO:0046673;GO:0043154;GO:2001271;GO:0046329;GO:1903688;GO:0090263;GO:0031398;GO:0051865;GO:0070936;GO:0045116;GO:0000209;GO:0051726;GO:0045035;GO:0007289;GO:0007283;GO:0016055","GO:0005737;GO:0005829;GO:0005634;GO:0048471;GO:0005876","GO:0089720;GO:0004869;GO:0043027;GO:0061663;GO:0031624;GO:0061630;GO:0031625;GO:0044390;GO:0004842;GO:1990381;GO:0008270","GO:0048856;GO:0012501;GO:0022414;GO:0030154;GO:0048856;GO:0048870;GO:0048856;GO:0051604;GO:0012501;GO:0051604;GO:0012501;GO:0012501;GO:0030154;GO:0048856;GO:0012501;GO:0012501;GO:0023052;GO:0022414;GO:0030154;GO:0048856;GO:0048870;GO:0023052;GO:0048856;GO:0022414;GO:0030154;GO:0048856;GO:0022414;GO:0023052","anatomical structure development;programmed cell death;reproductive process;cell differentiation;anatomical structure development;cell motility;anatomical structure development;protein maturation;programmed cell death;protein maturation;programmed cell death;programmed cell death;cell differentiation;anatomical structure development;programmed cell death;programmed cell death;signaling;reproductive process;cell differentiation;anatomical structure development;cell motility;signaling;anatomical structure development;reproductive process;cell differentiation;anatomical structure development;reproductive process;signaling"
"6432","PGEN_.00g163300","PGEN_.00g163300","gonad",37.649289,1,"Q20930;Q9NDL4",179575,"mig-17","Metalloprotease mig-17","Abnormal cell migration protein 17","GO:0005604;GO:0005615;GO:0046872;GO:0004222;GO:0008237;GO:0035262;GO:0016540;GO:0008104;GO:0030334;GO:1903354;GO:0031638","GO:0035262;GO:0016540;GO:0008104;GO:0030334;GO:1903354;GO:0031638","GO:0005604;GO:0005615","GO:0046872;GO:0004222;GO:0008237","GO:0022414;GO:0048856;GO:0051604;GO:0048870;GO:0048870;GO:0051604","reproductive process;anatomical structure development;protein maturation;cell motility;cell motility;protein maturation"
"6565","PGEN_.00g166490","PGEN_.00g166490","gonad",3.445855,1,"P08510;A4V4Q2;B6IDJ2;M9MSC0;M9NEM4;M9PF21;P08511;P08512;P08513Q24277;Q24521;Q7KUW5;Q8IQY9;Q8MT41;Q9VWZ5;Q9VWZ9;Q9VX00",32780,"Sh","Potassium voltage-gated channel protein Shaker","Protein minisleep","GO:0016021;GO:0008076;GO:0005251;GO:0022843;GO:0005249;GO:0001508;GO:0048675;GO:0048150;GO:1903351;GO:0007619;GO:0009584;GO:0008345;GO:0007611;GO:0048047;GO:0045938;GO:0045838;GO:0071805;GO:0006813;GO:0007637;GO:0051260;GO:0045187;GO:0034765;GO:0060025;GO:0050909;GO:0030431","GO:0001508;GO:0048675;GO:0048150;GO:1903351;GO:0007619;GO:0009584;GO:0008345;GO:0007611;GO:0048047;GO:0045938;GO:0045838;GO:0071805;GO:0006813;GO:0007637;GO:0051260;GO:0045187;GO:0034765;GO:0060025;GO:0050909;GO:0030431","GO:0016021;GO:0008076","GO:0005251;GO:0022843;GO:0005249","GO:0030154;GO:0048856;GO:0022414;GO:0050877;GO:0022414;GO:0055085;GO:0065003;GO:0055085;GO:0023052;GO:0050877","cell differentiation;anatomical structure development;reproductive process;nervous system process;reproductive process;transmembrane transport;protein-containing complex assembly;transmembrane transport;signaling;nervous system process"
"6590","PGEN_.00g167010","PGEN_.00g167010","gonad",20.954901,1,"Q8WVL7;Q8NDF2;Q96JE5;Q9NXK7",54851,"ANKRD49","Ankyrin repeat domain-containing protein 49","Fetal globin-inducing factor","GO:0005829;GO:0005634;GO:0030154;GO:0045893;GO:0007283","GO:0030154;GO:0045893;GO:0007283","GO:0005829;GO:0005634","","GO:0006351;GO:0006355;GO:0022414","DNA-templated transcription;regulation of DNA-templated transcription;reproductive process"
"6615","PGEN_.00g167720","PGEN_.00g167720","gonad",10.046706,1,"Q2KIY6",529615,"HORMAD1","HORMA domain-containing protein 1","FIC domain-containing protein","GO:0005694;GO:0005634;GO:0000795;GO:0001824;GO:0051321;GO:0042138;GO:0051598;GO:0051177;GO:0048477;GO:0060629;GO:0007283;GO:0007130","GO:0001824;GO:0051321;GO:0042138;GO:0051598;GO:0051177;GO:0048477;GO:0060629;GO:0007283;GO:0007130","GO:0005694;GO:0005634;GO:0000795","","GO:0048856;GO:0022414;GO:0022414;GO:0022414;GO:0023052;GO:0140013;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0030154;GO:0048856;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0007059;GO:0022414;GO:0140013","anatomical structure development;reproductive process;reproductive process;reproductive process;signaling;meiotic nuclear division;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;cell differentiation;anatomical structure development;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;chromosome segregation;reproductive process;meiotic nuclear division"
"6629","PGEN_.00g168130","PGEN_.00g168130","gonad",4.751279,1,"Q9Z0E1;Q3V2A0",110958,"M1ap","Meiosis 1 arrest protein","Spermatogenesis-associated protein 37","GO:0005737;GO:0016021;GO:0042802;GO:0030154;GO:0031497;GO:0007292;GO:0051308;GO:0007127;GO:0006396;GO:0007283","GO:0030154;GO:0031497;GO:0007292;GO:0051308;GO:0007127;GO:0006396;GO:0007283","GO:0005737;GO:0016021","GO:0042802","GO:0022414;GO:0007059;GO:0022414;GO:0140013;GO:0022414;GO:0140013;GO:0022414","reproductive process;chromosome segregation;reproductive process;meiotic nuclear division;reproductive process;meiotic nuclear division;reproductive process"
"6633","PGEN_.00g168190","PGEN_.00g168190","gonad",7.78914,1,"Q03427;Q24374;Q9V729",36615,"LamC","Lamin-C","pG-IF","GO:0005638;GO:0005635;GO:0005652;GO:0034399;GO:0070732;GO:0005200;GO:0006325;GO:0031507;GO:0007112;GO:0060415;GO:0051664;GO:0030833;GO:0035989","GO:0006325;GO:0031507;GO:0007112;GO:0060415;GO:0051664;GO:0030833;GO:0035989","GO:0005638;GO:0005635;GO:0005652;GO:0034399;GO:0070732","GO:0005200","GO:0006325;GO:0000910;GO:0022414;GO:0140013;GO:0048856;GO:0007010;GO:0065003;GO:0048856","chromatin organization;cytokinesis;reproductive process;meiotic nuclear division;anatomical structure development;cytoskeleton organization;protein-containing complex assembly;anatomical structure development"
"6640","PGEN_.00g168510","PGEN_.00g168510","gonad",19.104811,1,"Q16181;Q52M76;Q6NX50",989,"SEPTIN7","Septin-7","CDC10 protein homolog","GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725;GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198;GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283","GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283","GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725","GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198","GO:0044782;GO:0000910;GO:0044782;GO:0048856;GO:0022414","cilium organization;cytokinesis;cilium organization;anatomical structure development;reproductive process"
"6656","PGEN_.00g169090","PGEN_.00g169090","gonad",19.497573,1,"Q16181;Q52M76;Q6NX50",989,"SEPTIN7","Septin-7","CDC10 protein homolog","GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725;GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198;GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283","GO:0030154;GO:0034613;GO:0060271;GO:0061640;GO:1902857;GO:0016476;GO:0007283","GO:0005930;GO:0032153;GO:0032154;GO:0005829;GO:0070062;GO:0000776;GO:0015630;GO:0030496;GO:0097730;GO:0005634;GO:0031105;GO:0005940;GO:0097227;GO:0005819;GO:0001725","GO:0045296;GO:0005525;GO:0003924;GO:0042802;GO:0060090;GO:0005198","GO:0044782;GO:0000910;GO:0044782;GO:0048856;GO:0022414","cilium organization;cytokinesis;cilium organization;anatomical structure development;reproductive process"
"6660","PGEN_.00g169180","PGEN_.00g169180","gonad",45.966408,1,"Q03017;A4V0S3;Q0E8Q3;Q9V3M6",34969,"cact","NF-kappa-B inhibitor cactus","Phosphopentomutase","GO:0005737;GO:0005829;GO:0031594;GO:0071212;GO:0051059;GO:0019730;GO:0007253;GO:0046843;GO:0009950;GO:0009953;GO:0002789;GO:0045611;GO:0045751;GO:0007399;GO:0048477","GO:0019730;GO:0007253;GO:0046843;GO:0009950;GO:0009953;GO:0002789;GO:0045611;GO:0045751;GO:0007399;GO:0048477","GO:0005737;GO:0005829;GO:0031594;GO:0071212","GO:0051059","GO:0002376;GO:0098542;GO:0006351;GO:0006355;GO:0022414;GO:0030154;GO:0048856;GO:0048856;GO:0048856;GO:0002376;GO:0098542;GO:0002376;GO:0030154;GO:0023052;GO:0048856;GO:0022414;GO:0030154;GO:0048856","immune system process;defense response to other organism;DNA-templated transcription;regulation of DNA-templated transcription;reproductive process;cell differentiation;anatomical structure development;anatomical structure development;anatomical structure development;immune system process;defense response to other organism;immune system process;cell differentiation;signaling;anatomical structure development;reproductive process;cell differentiation;anatomical structure development"
